head,relation,tail,verdict_qwen,verdict_gpt
routing processor,communicates_with,switch controller,yes,yes
output port,sends,packet forward to destination,yes,no
routing processor,part_of,routing gateway,yes,yes
routing processor,requires,switching,,yes
routing processor,part_of,routing switch,yes,yes
routing processor,part_of,routing node,no,yes
routing processor,requires,destination field,yes,yes
routing processor,requires,input queue,,yes
routing processor,requires,packet header,,yes
shared bus,connects_to,switch,,yes
shared bus,connects_to,ports,yes,yes
switching fabric,connects_to,port,yes,yes
crossbar switch,has_part,input port,,yes
crossbar switch,has_part,output port,yes,yes
crossbar switch,has_part,congestion avoidance,yes,no
switching fabric,connects_to,switches,yes,no
crossbar switch,has_part,control,,yes
crossbar switch,has_part,link,no,yes
switching fabric,part_of,switching network,,yes
input port,connects_to,switching port,yes,yes
input port,part_of,node,yes,yes
input port,connects_to,queue,yes,yes
input port,requires,packet queue,yes,yes
input port,supports,packet queue,yes,yes
input port,supports,frame forward,no,yes
output port,forwards,outgoing traffic,yes,yes
input port,supports,packet sequence,yes,yes
output port,forwards,output data,no,yes
output port,connects_to,destination,no,yes
output port,has_part,output port queue,yes,yes
output port,has_part,output port flow,no,yes
output port,sends,packets,yes,yes
crossbar switching fabric,forwards,packets,yes,yes
crossbar switching fabric,forwards,traffic,yes,yes
crossbar switching fabric,forwards,data,yes,yes
output port,connects_to,queue,,yes
crossbar switching fabric,forwards,byte,no,yes
output port,forwards,incoming packets,yes,no
output port,forwards,incoming packet,no,yes
output port,has_part,packet queue,yes,yes
output port,receives,packets from each input port,yes,yes
output port,receives,the packets,yes,no
output port,receives,packet from each input port,yes,no
switching fabric,part_of,switch node,yes,yes
random early detection,is_a,algorithm,yes,yes
random early detection,is_a,congestion control algorithm,yes,yes
random early detection,is_a,traffic detection algorithm,yes,yes
random early detection,is_a,network congestion control,yes,yes
explicit congestion notification,part_of,congestion control,yes,yes
explicit congestion notification,part_of,network protocol,yes,yes
output port,forwards,data packet,yes,yes
output port,forwards,traffic packet,yes,yes
output port,forwards,packet transmission,,yes
packet queue,part_of,output port,yes,yes
packet queue,part_of,switch,yes,yes
output port,has_part,transmission,yes,no
packet queue,part_of,input port,yes,yes
output port,receives,packet to the destination,yes,yes
packet queue,part_of,node,yes,yes
packet queue,part_of,link,,yes
output port,sends,a packet,yes,yes
buffering,increases,congestion,yes,yes
buffering,increases,queue delay,,yes
home router,has_part,packet queue,yes,yes
home router,has_part,output queue,yes,yes
bufferbloat,increases,delay,yes,yes
bufferbloat,increases,queue delay,yes,yes
bufferbloat,increases,packet loss,,yes
network layer,has_part,routing,yes,yes
network layer,provides,data service,yes,yes
network layer,receives,routing information,,yes
version number,part_of,ip header field,yes,yes
ipv4,operates_at,network,yes,yes
ipv4,operates_at,layer,yes,yes
version number,part_of,the ip protocol,yes,yes
version number,part_of,a sequence of bit,yes,yes
router,receives,ip header,yes,yes
router,sends,the ip header,,yes
router,sends,ip data,yes,yes
header length,part_of,header,yes,yes
router,requires,ip header,,yes
header length,part_of,packet header,,yes
type of service,part_of,ip header,yes,yes
ipv4 header,contains,ip address,yes,yes
ipv4 header,contains,protocol number,yes,yes
ipv4 header,contains,header field,yes,yes
ipv4 header,contains,service field,yes,yes
explicit congestion notification,part_of,ip header,yes,yes
datagram length,part_of,ip header,yes,yes
datagram length,part_of,network layer,,yes
ip datagram,contains,ip address,yes,yes
datagram length,part_of,transport layer,,yes
ip datagram,contains,header,yes,yes
ip datagram,contains,header field,yes,yes
ip datagram,contains,data,yes,yes
ip datagram,contains,field,yes,yes
ip datagram,contains,protocol number,yes,yes
ip datagram,contains,data segment,yes,yes
ip datagram,contains,transport layer,,yes
flags,part_of,ip header,yes,yes
flags,part_of,ip packet,yes,yes
flags,part_of,ip field,no,yes
ethernet frame,contains,data field,yes,yes
ethernet frame,contains,ip data,yes,yes
flags,part_of,ip bytes,yes,yes
flags,part_of,ip data,yes,no
ethernet frame,contains,header field,yes,yes
identifier,part_of,ip header,yes,yes
identifier,part_of,ip packet,no,yes
ethernet frame,contains,ip header,yes,yes
identifier,part_of,ip data,yes,no
fragmentation offset,part_of,header,yes,yes
fragmentation offset,part_of,ip header,yes,yes
fragmentation offset,part_of,ip packet,yes,yes
fragmentation offset,part_of,field,no,yes
ipv6,enables,multiple addresses,yes,yes
ipv6,has_part,packet,no,yes
ipv6,enables,routing protocol,no,yes
ipv6,provides,header field,no,yes
ipv6,provides,service,yes,yes
ipv6,enables,header field,no,yes
udp,supports,checks data,yes,no
udp,supports,bytes,no,yes
udp,supports,layer service,yes,yes
ipv6 header,contains,ip address,no,yes
host,contains,interface,yes,yes
ipv6 header,contains,destination address,yes,yes
ipv6 header,contains,protocol number,yes,yes
ip datagram,contains,message,yes,yes
host,receives,packet,yes,yes
host,contains,address,yes,yes
router,implements,ip routing,yes,yes
router,receives,network packet,yes,yes
router,implements,network routing,yes,yes
interface,part_of,host,yes,yes
host,sends,source address,no,yes
router,receives,link data,yes,yes
ip address,identifies,interface,yes,yes
ip datagram,contains,destination address,yes,yes
ip address,identifies,gateway,yes,yes
router interface,part_of,the gateway,,yes
ip address,identifies,destination,,yes
subnet,has_part,addresses,yes,yes
subnet,has_part,ip address,,yes
subnet,has_part,host,yes,yes
subnet,has_part,interface,,yes
subnet,has_part,hosts,yes,yes
broadcast link,connects_to,network,,yes
broadcast link,connects_to,interface,yes,yes
broadcast link,connects_to,gateway,,yes
subnet,has_part,address,yes,yes
router interface,part_of,sub network,,yes
router interface,part_of,ip network,no,yes
router interface,part_of,routing of network,yes,no
router,operates_at,core network,,yes
cidr,supports,routing,yes,yes
cidr,supports,ip routing,yes,yes
router,requires,multiple links,,yes
host,contains,routing information,yes,yes
host,contains,network interface,yes,yes
cidr,supports,ip address,,yes
cidr,supports,network,yes,yes
router,implements,gateway,,yes
router,implements,a gateway to other host,yes,yes
router,implements,data path,yes,yes
router,receives,network address,,yes
ip broadcast address,is_a,address,yes,yes
forwarding table,contains,address prefix,yes,yes
isp,provides,ip addresses,yes,yes
isp,provides,address,yes,yes
ip broadcast address,is_a,destination address,yes,yes
isp,provides,host address,yes,yes
icann,provides,data management,yes,yes
arin,part_of,internet,yes,yes
isp,has_part,ip address,no,yes
isp,has_part,addresses,yes,yes
isp,has_part,host,no,yes
ripe,part_of,internet network,yes,yes
lacnic,part_of,internet organization,no,yes
lacnic,part_of,network organization,,yes
dhcp,provides,service,yes,yes
dhcp,enables,host address,yes,yes
dhcp,enables,address configuration,yes,yes
dhcp,enables,ip configuration,yes,yes
dhcp,runs_on,host,,yes
dhcp,provides,host address,yes,yes
dhcp,provides,address information,yes,yes
dhcp,runs_on,server,yes,yes
dhcp,runs_on,network,,yes
dhcp,runs_on,ip,yes,yes
dhcp,enables,client address,yes,yes
dhcp server,receives,request,yes,yes
dhcp,enables,remote device,yes,yes
dhcp,enables,user,yes,yes
dhcp server,receives,query,yes,yes
dhcp server,receives,message,yes,yes
dhcp server,receives,data,yes,yes
dhcp server,sends,ip address to host,yes,yes
dhcp server,sends,message to host,,yes
dhcp discover message,part_of,client packet,,yes
ip datagram,contains,address,yes,yes
dhcp discover message,part_of,dh protocol,yes,no
dhcp discover message,part_of,the frame,yes,yes
ip datagram,contains,protocol,,yes
dhcp server,receives,client message,yes,yes
dhcp discover message,part_of,the packet,,yes
dhcp server,receives,client request,yes,yes
dhcp server,receives,dh request message,yes,yes
dhcp server,receives,dh message,,yes
dhcp server,receives,the client,yes,yes
dhcp offer message,contains,header,yes,yes
dhcp offer message,contains,server data,yes,yes
dhcp server,sends,ip address,yes,yes
dhcp server,sends,source address,,yes
nat router,has_part,route table,yes,yes
nat router,has_part,mac address,yes,yes
nat router,has_part,ip address,yes,yes
nat router,has_part,host entry,yes,yes
isp,provides,address server,yes,yes
nat router,has_part,table,yes,yes
isp,provides,gateway,yes,yes
ipv6,has_part,ip address,no,yes
ipv6,has_part,addressing field,yes,yes
ipv6,has_part,packet header,yes,yes
ipv6,enables,ip addresses,,yes
ipv6,enables,protocol,,yes
ipv6,enables,header,,yes
ipv6,provides,network address,yes,yes
ipv6,enables,packet,,yes
ipv6,provides,address,yes,yes
ipv6,provides,ip protocol,yes,no
ipv6 datagram,contains,header,yes,yes
ipv6,has_part,address field,yes,yes
ipv6 datagram,contains,destination address,yes,yes
ipv6 datagram,contains,protocol number,yes,yes
ipv6,provides,packet,no,yes
ipv6 datagram,contains,data segment,yes,yes
ipv6 datagram,contains,address field,no,yes
ipv6,enables,packet header,no,yes
ipv6,enables,multiple ip addresses,yes,yes
ipv6,operates_at,internet layer,yes,yes
ipv6,enables,host address,yes,yes
ipv6,enables,address bit,no,yes
ipv6,has_part,protocol number,,yes
ipv6,enables,multiple address,yes,yes
ipv6,enables,data routing,yes,yes
ipv6,has_part,packet field,yes,yes
ipv6,enables,addressing policy,yes,yes
ipv6,operates_at,ip header,no,yes
ipv6,provides,packet service,no,yes
ipv6,provides,addressing service,yes,yes
ipv6,enables,traffic routing,yes,yes
ipv6,provides,ip address,yes,yes
ipv6,provides,addressing protocol,yes,no
ipv6,enables,routing,yes,yes
ipv6,provides,data transfer,yes,yes
ipv6,enables,address policy,,yes
ipv6,provides,host address,yes,yes
ipv6,provides,routing,no,yes
traffic class,part_of,header,yes,yes
ipv6,provides,traffic control,yes,no
ipv6 datagram,contains,header field,yes,yes
ipv6 datagram,contains,protocol field,,yes
traffic class,part_of,the header,yes,yes
payload length,part_of,the header,yes,yes
payload length,part_of,ip header,yes,no
traffic class,part_of,ip header,yes,yes
payload length,part_of,packet,yes,yes
next header,part_of,packet header,yes,yes
next header,part_of,protocol layer,no,yes
next header,identifies,protocol,yes,yes
next header,identifies,the protocol,yes,yes
ipv6,enables,packet route,yes,yes
ipv6,enables,protocol header,no,yes
ipv6,has_part,header field,,yes
ipv6,has_part,protocol field,yes,no
ipv6,enables,source address,yes,yes
ipv6,has_part,ip header,yes,yes
ipv6,enables,address,no,yes
hop limit,part_of,packet header,yes,yes
hop limit,part_of,network layer,,yes
hop limit,part_of,ip header,yes,yes
ipv6,provides,address field,yes,yes
ipv6,provides,protocol header,,yes
ipv6,provides,data forward,yes,yes
next header,identifies,protocol field,,yes
ipv6,provides,protocol service,yes,
ipv6 datagram,contains,ip header,yes,yes
ipv6 node,forwards,ip packet,yes,yes
ipv6 datagram,contains,segment data,,yes
ipv6,enables,address information,yes,yes
ipv6,enables,forward packet,yes,yes
ipv6,operates_at,ip layer,yes,yes
ipv6,enables,ip address,no,yes
ipv6,has_part,multiple addresses,yes,yes
ipv6,enables,transport protocol,yes,yes
ipv6,provides,internet service,no,yes
ipv6,provides,packet information,no,yes
openflow,provides,network control,yes,yes
remote controller,provides,table,yes,yes
remote controller,provides,control,yes,yes
openflow,provides,traffic management,yes,yes
openflow,provides,flow,,yes
openflow,provides,switching service,yes,yes
openflow,provides,policy,yes,yes
flow table,contains,destination address,yes,yes
flow table,contains,port number,no,yes
flow table,contains,packet header,yes,no
flow table entry,contains,forward action,yes,yes
flow table entry,contains,destination address,yes,yes
flow table entry,contains,output port,yes,yes
output port,sends,packet from source port,yes,yes
output port,receives,flow,yes,no
ingress port,part_of,switch,yes,yes
output port,sends,packet to output ports,yes,no
ingress port,part_of,network,yes,yes
ethernet type field,identifies,ip layer,yes,yes
flow table,contains,ip address,yes,yes
ethernet type field,identifies,layer,,yes
ethernet type field,identifies,network,,yes
flow table,contains,address field,yes,yes
openflow,provides,packet forward,yes,yes
openflow,provides,packet action,yes,yes
openflow,provides,flow control,no,yes
openflow,provides,address field,,yes
openflow,provides,congestion avoidance,no,yes
openflow,provides,traffic routing,yes,yes
flow table entry,contains,output,,yes
flow table entry,contains,forward,no,yes
remote controller,provides,control action,yes,yes
ipv6,enables,routing information,yes,yes
ipv6,provides,header information,yes,yes
router,implements,congestion avoidance,yes,yes
data plane,implements,network layer,,yes
router,forwards,control message,yes,yes
router,implements,control protocol,yes,yes
router,requires,packet forward,,yes
router,requires,link layer,yes,yes
input port,supports,network traffic,,yes
input port,requires,forward table,yes,yes
forwarding table,contains,routing value,,yes
output port,connects_to,cross link,yes,yes
output port,receives,data,no,yes
dhcp,enables,data packet,,yes
forwarding table,contains,header field,,yes
openflow,provides,header data,no,yes
switch fabric,forwards,packets,yes,yes
switch fabric,forwards,traffic,yes,yes
forwarding table,contains,link number,yes,yes
forwarding table,contains,prefix address,yes,yes
round robin service,supports,the transmission for each packet,yes,no
crossbar,is_a,switch,,yes
round robin service,supports,class 1 and class 2,,yes
round robin service,supports,the queue of packets,,yes
router,implements,forward packet,yes,yes
forwarding table,part_of,the switch,yes,yes
forwarding table,part_of,the node,no,yes
forwarding table,contains,prefix value,yes,yes
forwarding table,contains,route,yes,yes
forwarding table,contains,address number,yes,yes
router,implements,ip route,,yes
router,implements,source routing,yes,yes
router,requires,destination address,yes,yes
router,receives,host address,no,yes
forwarding table,contains,address,yes,yes
forwarding table,contains,field,yes,yes
ospf,implements,route calculation,yes,yes
ospf,implements,control protocol,yes,yes
ospf,provides,network routing,yes,yes
ospf,is_a,routing protocol,yes,yes
ospf,is_a,network protocol,yes,yes
ospf,is_a,network layer protocol,yes,yes
ospf,provides,control,yes,no
ospf,is_a,control protocol,yes,yes
ospf,runs_on,network layer,,yes
ospf,supports,network layer,yes,yes
ospf,runs_on,control layer,yes,no
ospf,is_a,ip protocol,yes,yes
ospf,supports,control plane,yes,yes
bgp,enables,internet routing,yes,yes
bgp,enables,network control,yes,yes
bgp,enables,policy routing,yes,yes
bgp,implements,routing protocol,no,yes
bgp,requires,control plane,no,yes
bgp,requires,network layer,,yes
bgp,requires,routing information,yes,yes
ospf,provides,traffic management,no,yes
ospf,implements,ip route,yes,yes
bgp,enables,routing,yes,yes
ospf,runs_on,network,no,yes
ospf,supports,data plane,,yes
bgp,enables,network,yes,yes
bgp,enables,internet,yes,yes
bgp,implements,ip routing,yes,yes
bgp,enables,control,yes,no
bgp,requires,routing table,yes,yes
bgp,requires,data plane,no,yes
bgp,implements,header checks,yes,no
bgp,runs_on,transport layer,yes,yes
icmp,enables,routing control,no,yes
icmp,provides,network information,yes,yes
snmp,runs_on,controller,no,yes
snmp,runs_on,transport layer,yes,yes
forwarding table,contains,routing,no,yes
snmp,runs_on,network,yes,yes
snmp,runs_on,host,no,yes
forwarding table,contains,destination,yes,yes
snmp,runs_on,application layer,yes,yes
forwarding table,contains,network field,yes,yes
forwarding table,part_of,device,yes,yes
flow table,contains,flow entry,yes,yes
forwarding table,part_of,layer,yes,no
flow table,has_part,packet field,yes,yes
flow table,contains,output port,,yes
ospf,implements,reliable routing,yes,yes
forwarding table,contains,link cost,no,yes
ospf,implements,information transfer,yes,yes
ospf,is_a,network layer,,yes
forwarding table,part_of,network,,yes
bgp,enables,routing function,yes,yes
ospf,supports,routing information,yes,yes
bgp,enables,control architecture,yes,no
ospf,supports,control channel,yes,yes
ospf,provides,routing function,yes,yes
bgp,enables,network configuration,yes,yes
ospf,provides,traffic information,yes,no
bgp,has_part,routing control,no,yes
bgp,has_part,route control,no,yes
bgp,requires,network information,yes,yes
bgp,implements,control algorithm,yes,yes
bgp,requires,control algorithm,,yes
bgp,implements,route calculation,yes,yes
sdn,implements,control,yes,yes
sdn,implements,routing,yes,yes
sdn,supports,control protocol,yes,yes
sdn,supports,network management,yes,yes
sdn,implements,traffic control,yes,yes
sdn,implements,switching,yes,yes
sdn,implements,data transfer,yes,no
sdn,supports,device security,yes,yes
sdn,implements,congestion detection,yes,yes
sdn,supports,data control,yes,yes
sdn,supports,architecture layer,no,yes
sdn,implements,congestion control,no,yes
sdn,supports,network control,yes,yes
sdn,implements,protocols,,yes
sdn,supports,data network,yes,yes
sdn,supports,mobile devices,yes,yes
sdn,supports,congestion control,yes,yes
sdn,supports,ip layer,yes,yes
sdn,supports,wireless channel,no,yes
sdn,supports,data management,no,yes
sdn,supports,device layer,yes,yes
sdn,supports,protocol checks,yes,yes
neighbor,receives,cost,yes,yes
neighbor,receives,distance,yes,yes
sdn,implements,data switching,yes,yes
sdn,implements,routing protocols,yes,no
neighbor,receives,routing cost,,yes
graph,has_part,node x,yes,yes
graph,has_part,path,,yes
centralized routing algorithm,runs_on,host,,yes
centralized routing algorithm,runs_on,server,,yes
centralized routing algorithm,runs_on,node,,yes
centralized routing algorithm,requires,network data,yes,yes
centralized routing algorithm,runs_on,network,,yes
centralized routing algorithm,requires,link cost,yes,yes
centralized routing algorithm,runs_on,application,no,yes
centralized routing algorithm,requires,graph distance,yes,yes
ospf,implements,reliable transmission,yes,yes
centralized routing algorithm,requires,routing table,,yes
ospf,provides,routing,yes,yes
ospf,is_a,link protocol,yes,no
bgp,enables,routing policy,yes,yes
ospf,provides,bandwidth efficiency,yes,yes
bgp,implements,routing control,yes,yes
bgp,enables,traffic control,yes,yes
bgp,has_part,route,no,yes
centralized routing algorithm,requires,cost calculation,yes,yes
bgp,requires,routing algorithm,yes,yes
ls algorithm,provides,node cost,,yes
ls algorithm,provides,minimum cost,,yes
forwarding table,contains,destination node,no,yes
forwarding table,contains,path cost,no,yes
ls algorithm,provides,routing table,yes,yes
ls algorithm,provides,minimum cost path,yes,yes
forwarding table,contains,prefix values,yes,yes
ls algorithm,provides,node sequence,no,yes
forwarding table,contains,least cost path,,yes
forwarding table,part_of,source node,yes,yes
ls algorithm,provides,routing path,yes,yes
ls algorithm,provides,path,yes,yes
ls algorithm,provides,distance calculation,yes,yes
ls algorithm,provides,cost,yes,yes
ls algorithm,provides,routing,yes,yes
ls algorithm,provides,distance,no,yes
forwarding table,contains,node y,no,yes
forwarding table,contains,destination y,yes,yes
distance vector,contains,minimum cost of the path,yes,yes
ls algorithm,provides,delay of path,,yes
distance vector,contains,cost of its neighbors,yes,yes
forwarding table,contains,path to destination,yes,yes
distance vector,contains,its cost,yes,yes
forwarding table,contains,distance to y,,yes
forwarding table,part_of,routing,no,yes
forwarding table,part_of,algorithm,no,yes
distance vector,contains,distance,yes,yes
distance vector,contains,its distance,yes,yes
distance vector,contains,node,,yes
ls algorithm,provides,node distance,yes,yes
forwarding table,contains,cost value,yes,yes
rip,implements,routing algorithm,yes,yes
distance vector,contains,distance numbers,yes,yes
distance vector,contains,node y,yes,yes
distance vector,contains,node cost,,yes
distance vector,contains,path length,,yes
distance vector,contains,distance value,yes,yes
distance vector,contains,distance vector of node z,,yes
distance vector,contains,least cost path,no,yes
distance vector,contains,link cost,yes,yes
distance vector,contains,distance cost vector,no,yes
distance vector,contains,node distance vector,yes,no
distance vector,contains,node z,yes,yes
distance vector,contains,least cost,,yes
router,forwards,ip traffic,no,yes
router,causes,data loss,yes,yes
router,causes,network congestion,yes,yes
router,causes,buffer congestion,yes,yes
router,has_part,control node,no,yes
router,provides,forward path,yes,yes
router,implements,forward routing,,yes
router,provides,routing table,no,yes
router,provides,network gateway,yes,yes
router,provides,congestion control,yes,yes
router,forwards,network data,yes,yes
router,causes,routing cost,no,yes
router,causes,routing,no,yes
router,implements,routing algorithm,yes,yes
router,sends,the route to a gateway,yes,no
router,implements,forward packets,yes,yes
router,implements,multiple paths,yes,no
router,implements,routing tables,yes,no
router,implements,route tables,,yes
router,part_of,network of node,yes,yes
router,provides,routing paths,yes,yes
router,receives,routing path,no,yes
isp,provides,traffic management,yes,yes
isp,provides,ip connection,yes,yes
router,receives,routing paths,no,yes
isp,provides,routing service,yes,yes
ospf,implements,ip routing,yes,yes
ospf,provides,network information,yes,yes
autonomous system,has_part,network,yes,yes
autonomous system,has_part,device,yes,yes
ospf,provides,ip routing,yes,yes
autonomous system,has_part,route,,yes
ospf,runs_on,ip protocol,yes,yes
ospf,supports,network routing,yes,yes
ospf,is_a,routing algorithm,yes,yes
ospf,implements,path calculation,yes,yes
ospf,supports,ip protocol,yes,yes
ospf,supports,link routing,yes,no
ospf,implements,distance algorithm,yes,no
ospf,is_a,network routing,yes,yes
ospf,is_a,ip routing,yes,yes
ospf,provides,routing information,yes,yes
ospf,is_a,control algorithm,yes,yes
ospf,provides,routing algorithm,yes,yes
ospf,provides,routing table,yes,yes
ospf,provides,path calculation,yes,yes
ospf,supports,link cost,yes,yes
ospf,supports,path information,yes,yes
ospf,supports,routing algorithm,yes,yes
ospf,runs_on,ip routing,yes,yes
ospf,supports,routing table,yes,yes
ospf,is_a,link routing protocol,yes,no
ospf,provides,link information,yes,yes
ospf,runs_on,rt,no,yes
ospf,runs_on,os,,yes
ospf,implements,layer protocol,yes,no
ospf,implements,reliable protocol,yes,no
ospf,is_a,layer protocol,,yes
ospf,provides,control packet,no,yes
ospf,provides,error detection,no,yes
ospf,supports,route,yes,yes
bgp,enables,network routing,yes,yes
ospf,supports,data,,yes
bgp,implements,error checks,yes,yes
bgp,enables,policy configuration,yes,yes
bgp,runs_on,protocol,no,yes
bgp,runs_on,ip protocol,yes,yes
bgp,enables,information distribution,yes,yes
bgp,has_part,path control,no,yes
bgp,has_part,destination route,,yes
bgp,requires,path algorithm,yes,yes
bgp,requires,policy function,yes,yes
bgp,runs_on,network,,yes
bgp,enables,packet routing,yes,yes
bgp,enables,destination path,yes,yes
bgp,has_part,destination address,,yes
bgp,enables,network address,,yes
bgp,has_part,routing table,yes,yes
bgp,requires,routing policy,yes,yes
bgp,requires,network path,yes,yes
bgp,requires,packet header,yes,yes
bgp,runs_on,ip,yes,no
forwarding table,contains,network address,yes,yes
bgp,enables,path vector,,yes
bgp,has_part,routing path,,yes
bgp,implements,ip route,yes,no
bgp,implements,control message,yes,no
bgp,requires,ip address,yes,yes
bgp,requires,network address,yes,yes
bgp,requires,data link,yes,yes
bgp,enables,network path,yes,yes
bgp,has_part,path,,yes
bgp,requires,policy information,yes,yes
bgp,implements,route control,yes,yes
bgp,implements,path calculation,,yes
bgp,runs_on,node,yes,yes
bgp,has_part,network address,no,yes
gateway router,connects_to,network,yes,yes
internal router,connects_to,gateway,yes,yes
gateway router,is_a,gateway,yes,yes
internal router,connects_to,network link,no,yes
internal router,connects_to,switch hub,yes,yes
gateway router,connects_to,host,yes,yes
gateway router,connects_to,link,yes,yes
ebgp connection,enables,network traffic,yes,yes
ebgp connection,is_a,connection,yes,yes
ebgp connection,enables,remote connection,yes,yes
ebgp connection,enables,data route,yes,yes
ebgp connection,enables,routing path,,yes
gateway router,connects_to,gateway network,yes,yes
gateway router,connects_to,network switch,yes,yes
route,has_part,destination host,yes,yes
route,has_part,path of route,yes,yes
hot potato routing,requires,routing table,yes,yes
hot potato routing,requires,routing protocol,yes,yes
hot potato routing,requires,minimum cost,,yes
hot potato routing,requires,network information,yes,yes
forwarding table,contains,routing path,yes,no
forwarding table,contains,prefix entry,yes,yes
forwarding table,contains,cost data,yes,yes
forwarding table,part_of,packet routing,,yes
bgp,requires,data path,,yes
hot potato routing,requires,forward table,yes,yes
hot potato routing,requires,output function,,yes
hot potato routing,requires,path cost,,yes
ospf,supports,ip routing,yes,yes
hot potato routing,requires,network link,yes,yes
ospf,supports,routing,yes,yes
bgp,runs_on,controller - routing,yes,no
hot potato routing,requires,least cost,,yes
bgp,requires,policy,yes,yes
bgp,enables,traffic distribution,yes,yes
bgp,requires,network control,,yes
hot potato routing,requires,least distance,,yes
hot potato routing,requires,minimum path length,,yes
bgp,enables,output information,no,yes
bgp,enables,route algorithm,yes,yes
bgp,implements,route avoidance,yes,yes
bgp,has_part,routing algorithm,yes,yes
bgp,has_part,route path,no,yes
cdn,supports,servers,yes,yes
cdn,supports,ip protocol,yes,yes
bgp,runs_on,as rt,,yes
cdn,supports,client application,yes,yes
cdn,supports,data service,no,yes
cdn,supports,ip server,yes,yes
cdn,supports,application layer,yes,yes
bgp,enables,networking,yes,yes
bgp,has_part,policy control,yes,yes
bgp,requires,policy control,,yes
bgp,enables,web,no,yes
bgp,implements,message header,yes,yes
bgp,enables,cloud,yes,yes
router,receives,internet data,yes,yes
router,implements,data routing,yes,yes
router,forwards,internet packet,yes,yes
gateway router,connects_to,mail server,,yes
ip datagram,contains,http request,yes,yes
router,forwards,information message,yes,yes
bgp,enables,ip routing,yes,yes
bgp,enables,route distribution,yes,yes
bgp,enables,network information,yes,yes
bgp,implements,traffic routing,yes,yes
bgp,requires,route,yes,yes
bgp,requires,address table,yes,yes
flow table,part_of,network,yes,yes
control plane,has_part,routing protocol,,yes
sdn controller,communicates_with,network control application,,yes
sdn controller,communicates_with,server,yes,yes
sdn controller,enables,network control,yes,yes
sdn controller,communicates_with,remote switch,no,yes
sdn controller,enables,policy management,yes,yes
sdn controller,enables,application routing,yes,yes
sdn controller,enables,device configuration,yes,yes
sdn controller,part_of,network control architecture,yes,yes
sdn controller,part_of,network control layer,yes,yes
sdn controller,implements,control protocol,yes,yes
sdn controller,enables,remote control,yes,yes
sdn controller,part_of,network management system,yes,yes
sdn controller,implements,routing protocol,,yes
sdn controller,provides,network management,yes,yes
sdn controller,provides,control,yes,yes
sdn controller,implements,error checks,yes,yes
sdn controller,communicates_with,network device,yes,yes
sdn controller,provides,network information,yes,yes
sdn controller,provides,information,yes,yes
sdn controller,communicates_with,routing application,yes,yes
sdn controller,provides,application control,yes,yes
sdn controller,communicates_with,application controller,yes,no
sdn controller,communicates_with,remote server,yes,yes
sdn controller,enables,routing application,yes,yes
sdn controller,part_of,network architecture,yes,yes
sdn controller,enables,policy configuration,yes,yes
sdn controller,enables,congestion management,yes,yes
sdn controller,implements,control layer,no,yes
sdn controller,part_of,management system,yes,yes
sdn controller,provides,flow table,,yes
sdn controller,provides,congestion control,yes,yes
sdn controller,provides,device management,yes,yes
sdn controller,provides,error detection,,yes
sdn,implements,control protocol,no,yes
sdn,implements,routing protocol,yes,yes
sdn controller,communicates_with,network,yes,yes
sdn,implements,notification service,yes,no
sdn,supports,control management,yes,yes
sdn,supports,software,yes,no
sdn,supports,network,yes,yes
sdn,supports,security architecture,yes,yes
sdn,supports,data service,,yes
sdn controller,communicates_with,remote device,yes,yes
sdn controller,enables,routing management,yes,yes
sdn controller,implements,traffic control,,yes
sdn controller,enables,data routing,yes,yes
sdn controller,implements,congestion checks,yes,yes
sdn controller,enables,application layer,yes,no
sdn controller,provides,routing protocol,,yes
sdn controller,provides,flow control,no,yes
sdn controller,implements,routing control,yes,yes
sdn controller,communicates_with,client,yes,yes
sdn controller,implements,congestion avoidance,yes,yes
sdn controller,enables,management,yes,yes
sdn controller,enables,configuration,yes,yes
sdn controller,enables,routing,yes,yes
sdn controller,enables,remote device control,yes,yes
sdn controller,part_of,control layer,yes,yes
sdn controller,enables,control,,yes
sdn controller,provides,congestion detection,yes,yes
sdn controller,provides,protocol,no,yes
onos,is_a,network controller,yes,yes
onos,is_a,controller,yes,yes
onos,is_a,sd controller,yes,yes
opendaylight,is_a,network controller,yes,yes
opendaylight,is_a,sd controller,yes,yes
onos,is_a,architecture,yes,no
opendaylight,is_a,controller,yes,yes
openflow protocol,runs_on,transport,yes,yes
opendaylight,is_a,control architecture,yes,yes
opendaylight,is_a,management application,,yes
opendaylight,is_a,management layer,,yes
sdn controller,communicates_with,device,,yes
sdn controller,enables,protocol management,yes,yes
sdn controller,enables,congestion control,yes,yes
sdn controller,enables,routing protocol,no,yes
sdn controller,implements,sd control,yes,no
sdn controller,enables,traffic routing,yes,yes
sdn controller,part_of,control system,yes,yes
sdn controller,enables,packet switching,no,yes
sdn controller,part_of,network control,,yes
openflow protocol,runs_on,network,no,yes
sdn controller,provides,switching control,yes,yes
control plane,has_part,congestion avoidance,,yes
sdn controller,provides,output flow,no,yes
sdn controller,provides,routing table,yes,yes
sdn,implements,control routing,yes,yes
sdn,implements,congestion avoidance,yes,yes
icmp,enables,error message,yes,yes
icmp,enables,network information,no,yes
sdn,supports,congestion checks,yes,yes
icmp,provides,error message,yes,yes
sdn,supports,security service,yes,yes
icmp,provides,control information,yes,yes
sdn,supports,protocol information,no,yes
